# VITESS 3.7  Trajectories module EventsOut 1.15  VITESS-Format
# 2026-04-09 15:06:53  
# VITESS simulation   
#    TOF    lambda   count_rate    pos_x     pos_y    pos_z     dir_x     dir_y     dir_z  
  25.70951  2.54900   7.901e-13     0.4336  -0.0888  -0.2326   0.824385 -0.054318 -0.563417
  43.66297  4.32870   5.952e-14    -0.3047  -0.2501  -0.3076  -0.093590 -0.559055 -0.823831
  26.38207  2.61572   6.590e-13     0.0668   0.1912  -0.4571  -0.476963  0.651541 -0.589915
  24.23371  2.40256   6.380e-13     0.4612   0.0150   0.1924   0.669826 -0.575842  0.468763
  42.86214  4.24962   1.425e-13    -0.3369   0.3284   0.1692   0.176752  0.771653  0.610991
  15.05275  1.49240   8.364e-12    -0.2277   0.3361  -0.2919  -0.001116  0.356080 -0.934455
  36.08571  3.57771   1.110e-13    -0.3909   0.0149   0.3114  -0.777183  0.198622  0.597106
  25.64548  2.54263   8.072e-13     0.2981  -0.0791  -0.3935   0.991834 -0.037749 -0.121819
  36.38495  3.60767   1.779e-13    -0.1547   0.4716   0.0605  -0.522023  0.769886 -0.367108
  27.00073  2.67656   2.693e-13    -0.4191   0.1895  -0.1960  -0.796172  0.597136 -0.097670
  33.16700  3.28858   2.017e-13     0.1544  -0.1874  -0.4371  -0.722492 -0.100647 -0.684014
  24.54686  2.43366   1.158e-12    -0.4474  -0.1755  -0.1381  -0.701959 -0.578110 -0.415984
  20.43787  2.02635   1.605e-12    -0.3042   0.2008   0.3422  -0.887119  0.387193 -0.251199
  42.76516  4.24003   1.304e-13    -0.3421  -0.2769   0.2374  -0.203602 -0.922995  0.326537
   8.93196  0.88555   7.682e-12    -0.4976   0.0468  -0.0149  -0.855973 -0.362607 -0.368547
  39.11128  3.87740   3.477e-14    -0.4787  -0.0519   0.1347  -0.665744 -0.478727  0.572368
  39.93536  3.95949   8.586e-14    -0.4180   0.2017  -0.1860  -0.974901  0.089874 -0.203692
  36.69429  3.63783   6.130e-14     0.4484  -0.1764  -0.1334   0.420717 -0.073304 -0.904225
  33.07592  3.27918   1.164e-13     0.4868   0.0006   0.1143   0.688446  0.660134  0.300442
  36.71009  3.63971   1.088e-13     0.3326  -0.3733   0.0008   0.461809 -0.447843 -0.765617
  20.14732  1.99757   2.422e-12     0.3928  -0.1494   0.2709   0.998064  0.038733 -0.048657
  39.62748  3.92914   8.215e-14    -0.1818  -0.0986  -0.4552  -0.796804 -0.591150 -0.125084
  41.13549  4.07888   2.168e-14     0.0295   0.4376  -0.2400  -0.838163  0.136195 -0.528141
  18.25833  1.81024   3.277e-12     0.4378  -0.1827  -0.1578   0.789826  0.484221 -0.376436
  34.03975  3.37483   4.916e-13    -0.4911   0.0750   0.0568  -0.375636  0.452263  0.808923
  10.64331  1.05505   6.788e-12    -0.0340  -0.4098   0.2845  -0.551766 -0.677174  0.486815
  33.29269  3.30122   9.839e-14    -0.0053   0.4248   0.2637  -0.195158  0.788505  0.583244
  22.00749  2.18188   1.381e-12     0.3554   0.3073   0.1709   0.222424  0.896833 -0.382386
   8.91521  0.88392   6.076e-12     0.4143   0.2326   0.1558   0.999942 -0.001040 -0.010765
  11.69232  1.15917   7.978e-12     0.0851  -0.4895   0.0559   0.433574 -0.728807 -0.529957
  39.49531  3.91580   7.186e-14     0.4884  -0.0146  -0.1059   0.996862  0.066749  0.042560
  32.69517  3.24163   2.363e-13     0.4468   0.2206   0.0412   0.956759 -0.283297  0.065984
  23.92607  2.37243   7.563e-13     0.0011   0.3888   0.3144  -0.003554  0.959740 -0.280866
  25.39939  2.51809   6.502e-13     0.1549  -0.4709  -0.0651  -0.595625 -0.802894 -0.024321
  35.87359  3.55670   1.848e-13    -0.0621   0.4559   0.1957   0.393270  0.881205 -0.262328
  36.95340  3.66393   2.429e-13    -0.2891  -0.3416  -0.2229  -0.261664 -0.263238 -0.928568
  22.23865  2.20480   1.353e-12    -0.3342   0.1133   0.3542  -0.532059  0.229366  0.815049
  41.49907  4.11456   2.016e-13    -0.4020  -0.1254   0.2696  -0.654176  0.673551  0.344068
  29.08713  2.88393   3.499e-13    -0.3744   0.1738  -0.2822  -0.914951 -0.403562  0.001720
  17.97397  1.78179   3.547e-12     0.2788  -0.2109  -0.3575   0.926425 -0.373584 -0.046598
  44.07901  4.37015   6.008e-14    -0.1340  -0.0107  -0.4816   0.129379 -0.555347 -0.821493
  29.21400  2.89660   4.463e-13     0.2786   0.0982   0.4034   0.888027  0.279245  0.365281
  32.38193  3.21066   2.250e-13     0.3150   0.2125  -0.3250   0.790553 -0.611276  0.036978
  23.19437  2.29975   1.012e-16    -0.1392   0.4308  -0.2122  -0.739481  0.456869 -0.494408
   9.39074  0.93111   7.432e-12    -0.2456  -0.2885  -0.3263  -0.995579  0.035637 -0.086903
  17.19736  1.70504   4.345e-12     0.4820   0.0509  -0.1227   0.962744 -0.241106 -0.122439
  43.07585  4.27081   4.483e-14     0.4687   0.0546   0.1654   0.894468  0.330007  0.301700
  13.39071  1.32766   7.542e-12     0.4058  -0.0477   0.2881   0.996386 -0.005378 -0.084773
  23.69215  2.34883   1.191e-12     0.1086   0.3282   0.3612   0.807241  0.588206 -0.048749
  31.18676  3.09232   1.833e-13     0.0001  -0.4647  -0.1846   0.912249 -0.252375  0.322659
  23.80430  2.36000   1.582e-12    -0.4069  -0.1992  -0.2116  -0.265442 -0.964127 -0.000104
  17.94048  1.77878   3.741e-12     0.3442  -0.2603  -0.2525   0.062001 -0.128334 -0.989791
  13.81050  1.36940   1.609e-12    -0.0644  -0.1849  -0.4601  -0.854263 -0.480765  0.197735
  29.79677  2.95382   2.098e-13    -0.4565   0.1433   0.1453  -0.990807  0.077256 -0.111058
  10.65409  1.05641   4.933e-12     0.0801   0.1460  -0.4715   0.320633  0.777185 -0.541460
  29.42085  2.91677   3.324e-13    -0.0465   0.0047  -0.4978  -0.447722 -0.044242 -0.893078
  28.05416  2.78149   5.585e-13     0.4563   0.1896   0.0768   0.987826  0.153834  0.023108
  19.24613  1.90827   2.096e-12     0.2981  -0.3850  -0.1135   0.954952  0.212741  0.206899
  27.98376  2.77423   3.244e-13     0.3286  -0.3169  -0.2039  -0.028559 -0.211280 -0.977008
  15.73030  1.55962   1.268e-15     0.3818  -0.1626  -0.2789   0.925520  0.233887 -0.297841
  44.44121  4.40655   5.433e-14     0.0943   0.2660   0.4127   0.207016  0.783847  0.585429
  34.71973  3.44253   2.195e-13    -0.2478   0.3175   0.2963  -0.971982  0.181889  0.148888
  38.08521  3.77621   1.987e-13    -0.2339  -0.3019   0.3227  -0.131432 -0.762930  0.632980
  28.46007  2.82167   7.201e-13    -0.2363   0.2626   0.3538  -0.086132  0.227607  0.969936
  40.30909  3.99641   7.177e-14    -0.1917  -0.4616   0.0132  -0.256012 -0.940531 -0.223291
  38.55637  3.82285   1.143e-13    -0.3401   0.1982   0.3083  -0.963872 -0.210825  0.162802
  33.31629  3.30297   3.785e-13    -0.1432   0.0899  -0.4705   0.698012 -0.175809 -0.694169
  33.47033  3.31855   2.216e-13     0.2951  -0.3890   0.1076   0.659593 -0.735135 -0.156569
  19.09551  1.89325   3.049e-12    -0.4010  -0.2215   0.2003  -0.838142 -0.047786  0.543354
  41.98495  4.16248   7.440e-14     0.1813  -0.3752   0.2763   0.954819 -0.271838  0.120100
  10.62904  1.05383   1.770e-14    -0.3959  -0.3054  -0.0036  -0.750413 -0.497982 -0.434619
  41.00195  4.06518   5.968e-14     0.2157  -0.4497   0.0349   0.380312 -0.895660  0.230554
  32.83913  3.25587   2.229e-13     0.3386  -0.3377   0.1460   0.674318 -0.305160  0.672438
  39.27064  3.89399   6.288e-15    -0.0070  -0.3341   0.3720   0.956985 -0.242944  0.158615
  44.84051  4.44554   2.553e-14     0.1525   0.4061   0.2487   0.087219  0.654708  0.750833
  38.21980  3.78917   9.674e-14     0.1109   0.3222   0.3659   0.435741  0.226663  0.871065
  42.42155  4.20593   4.847e-14     0.3951   0.2405   0.1898   0.775422  0.011442  0.631340
  13.89870  1.37799   9.928e-12    -0.4626  -0.1599   0.1019  -0.805312 -0.544758 -0.233903
  17.41312  1.72623   2.475e-12    -0.4450  -0.1495   0.1722  -0.927160  0.047556  0.371634
  38.64904  3.83214   8.399e-14     0.2139  -0.3886   0.2307   0.672990 -0.407690 -0.617149
  40.85418  4.05033   5.836e-14     0.4838  -0.0456   0.1178   0.955062  0.273939  0.113202
  12.33091  1.22259   5.518e-15     0.0951   0.0627  -0.4868   0.178169  0.411727 -0.893721
  19.00686  1.88453   1.681e-12     0.0004   0.3444   0.3625  -0.686148  0.659356 -0.307327
  21.15580  2.09764   2.005e-12    -0.2413  -0.4377   0.0134  -0.999983  0.004656 -0.003379
  33.34322  3.30613   2.679e-13    -0.1399   0.2239   0.4246  -0.847579  0.116620  0.517696
  37.17885  3.68637   1.048e-13     0.2078   0.2391   0.3868   0.252948  0.084050  0.963822
  45.03483  4.46518   3.739e-14    -0.1103  -0.3177  -0.3699  -0.333652  0.245690 -0.910117
  44.18938  4.38121   3.849e-14     0.4737  -0.1066   0.1194   0.987090 -0.101776 -0.123669
  13.36043  1.32465   8.027e-12     0.4299  -0.2549   0.0137   0.992111  0.110894  0.058458
  15.57333  1.54416   4.712e-12    -0.1501   0.4286   0.2093  -0.886856  0.319143  0.334117
  44.05636  4.36823   5.923e-14    -0.1785   0.3284   0.3321  -0.565967  0.789991  0.235785
  44.76955  4.43873   1.097e-13    -0.2850  -0.0958  -0.3995   0.471018 -0.731905 -0.492399
  19.62114  1.94531   1.521e-12    -0.2478  -0.4220   0.1024  -0.794356 -0.273575 -0.542361
  13.66384  1.35472   8.140e-12     0.4290  -0.0750  -0.2456   0.927544  0.319770 -0.193416
  43.16559  4.27898   1.533e-14    -0.4367   0.2434   0.0045  -0.945681  0.274025  0.174922
  27.25533  2.70211   7.018e-13     0.2688  -0.3448  -0.2426   0.912371 -0.386869 -0.133835
  38.77213  3.84416   1.818e-13    -0.2709  -0.4191  -0.0304   0.062014 -0.537003 -0.841298
  40.75835  4.04087   4.499e-14     0.4992  -0.0271  -0.0097   0.716380 -0.696434  0.042182
  42.64613  4.22767   2.179e-14    -0.4383   0.0444   0.2364  -0.999926  0.011483  0.003941
  37.59164  3.72727   2.220e-13    -0.2630  -0.2220   0.3627  -0.271153 -0.656503  0.703904
  25.10605  2.48928   8.599e-13     0.3017   0.2540  -0.3074   0.996344  0.071112 -0.047342
  21.33866  2.11560   2.777e-12    -0.4675  -0.0998   0.1466  -0.656598 -0.460748  0.597152
  30.78138  3.05160   1.646e-13    -0.4112   0.2836  -0.0217  -0.427656  0.685456  0.589288
  37.22874  3.69109   8.194e-14     0.1911   0.2550   0.3853   0.369309  0.929302 -0.002865
  12.70880  1.25990   7.905e-12    -0.0880  -0.0970   0.4826   0.069725 -0.496400  0.865289
  23.42532  2.32213   6.764e-13    -0.2305   0.3286   0.2981  -0.909839  0.370616  0.186645
  15.01778  1.48895   5.524e-12    -0.3760  -0.1058  -0.3121  -0.526921  0.013616 -0.849805
  28.56175  2.83187   4.627e-13     0.3464   0.3242  -0.1579   0.994318  0.084797 -0.064347
  34.57143  3.42800   8.765e-14    -0.0444   0.3271   0.3756  -0.526808  0.560105  0.639340
